Version	GM v 4.0
Chemistry Kit	Mcav Serrano msats
BinSet Name	Mcav Serrano msats
Panel Name	Plex 1
Marker Name	MC29
225	225.33	0.35	1.08	dark gray
227	227.44	0.43	0.43	dark gray
228	228.46	0.48	0.47	dark gray
229	229.75	0.73	0.74	dark gray
232	232.44	0.44	0.44	dark gray
233	233.43	0.42	0.42	dark gray
234	234.42	0.41	0.41	dark gray
237	237.44	0.44	0.44	dark gray
240	240.47	0.45	0.44	dark gray
Marker Name	MC18
239	239.72	0.4	1.21	dark gray
242	242.9	0.4	1.69	dark gray
245	246.08	0.4	1.67	dark gray
248	249.24	0.4	1.63	dark gray
251	252.11	0.4	1.68	dark gray
254	254.89	0.4	1.39	dark gray
257	257.73	0.4	1.24	dark gray
260	260.33	0.4	1.16	dark gray
263	263.16	0.4	1.89	dark gray
266	265.89	0.4	1.98	dark gray
233	233.09	0.0	1.49	dark gray
236	236.04	0.4	1.97	dark gray
269	269.01	0.4	0.87	dark gray
272	271.96	0.4	0.4	dark gray
275	275.0	0.4	0.0	dark gray
Marker Name	MC114
179	180.07	1.09	1.1	dark gray
188	188.14	0.74	0.88	dark gray
191	191.25	0.71	1.29	dark gray
194	194.29	0.4	1.27	dark gray
197	197.43	0.4	1.84	dark gray
200	200.58	0.92	0.95	dark gray
203	204.01	0.4	1.48	dark gray
206	207.39	0.82	1.12	dark gray
212	210.81	0.4	1.97	dark gray
215	214.2	0.5	1.1	dark gray
218	217.64	0.4	1.87	dark gray
221	220.67	0.4	1.35	dark gray
224	224.37	0.4	0.98	dark gray
227	227.35	0.4	1.52	dark gray
230	231.08	0.4	1.38	dark gray
233	234.13	0.4	1.22	dark gray
239	237.79	0.4	1.2	dark gray
167	167.01	0.0	1.08	dark gray
185	185.01	0.4	1.12	dark gray
209	209.01	0.4	1.26	dark gray
236	236.0	0.4	0.4	dark gray
242	242.01	0.93	0.4	dark gray
245	245.0	0.4	0.0	dark gray
182	182.84	0.85	0.84	dark gray
248	247.36	0.88	0.87	dark gray
251	250.28	0.72	0.72	dark gray
254	253.24	0.91	0.9	dark gray
